epoch,d loss,p loss,g loss,g_p loss
1,1.2376070850990095,0.10845087048113125,0.7958917829639659,1.5628888319598666
2,1.1082543499864035,0.059937161339265806,0.9206732150789102,0.9736590830767761
3,0.9281215082100425,0.0474772638196774,1.1532440968263504,0.7600550469532908
4,0.8507507319175119,0.04012084554522883,1.2778370338805614,0.6429460472428944
5,0.809912230079233,0.03446104973047893,1.3425493705147515,0.5776746447258907
6,0.7753203870724759,0.03019680660838858,1.3939403690795262,0.5469638565559214
7,0.7460764470805674,0.026792891209082206,1.4405198344152894,0.522715976772415
8,0.7177708404511126,0.02390365023482186,1.4892122600230357,0.5036111129584857
9,0.692429145906919,0.021767370540452118,1.5353943644630412,0.4929779373153833
10,0.6721478805453682,0.020216746758330108,1.575358298992153,0.4823969811733841
11,0.6539367948809653,0.018852269760576582,1.610389144292858,0.47499196693736817
12,0.633629452423931,0.01775395243893309,1.652385912773076,0.4678007408445555
13,0.6160204610948907,0.016809076790042374,1.6927997177217897,0.4633136118159985
14,0.6014991848916426,0.015945595973356496,1.7258745770414206,0.45736187123465066
15,0.5883692082734918,0.015150900718591246,1.7542971758926031,0.4524819479837876
16,0.5768603132644743,0.014499702900839318,1.7750894581702539,0.4485472589236857
17,0.5614814662994069,0.013840075719141665,1.8252985532257449,0.44610050264966233
18,0.5535422459504703,0.013246586385598625,1.834759679209976,0.442007004907025
19,0.5399560428355255,0.012741349979779708,1.8671334918640308,0.4384326896737133
20,0.5316752275113018,0.012366760318194734,1.8933686153177103,0.43714170337100205
21,0.5126105874665173,0.011833546354197765,2.299591511070372,0.3682400761102747
22,0.5025083264160419,0.011391846532512663,2.303376007664469,0.35074015213377624
23,0.4958729159682646,0.011158102022402958,2.3159405581961656,0.3419282807460421
24,0.48896096202967143,0.010784733573583373,2.3186594952297854,0.3347949492732924
25,0.48224696813868134,0.010415740279357735,2.340066381325455,0.3306843845213629
26,0.4748379400011681,0.010125082023538482,2.356274398669189,0.3276005039242167
27,0.47128375526913846,0.009900262019314227,2.367795443326406,0.32448820600337813
28,0.46626581300475606,0.009688122541283851,2.3789374359662467,0.31949719373533847
29,0.45226780113355786,0.009375809491521687,2.4247245156305754,0.3190501222936495
30,0.4553758107885619,0.0092054802224585,2.4120199689122153,0.3155920452063054
31,0.4475028732705975,0.008967820276894427,2.4415265517777134,0.3144025088966435
32,0.44192835041968664,0.008788645819933412,2.4455997791592154,0.3107557140107824
33,0.43835821866019026,0.00858263785420748,2.46864517402474,0.3087983377628846
34,0.43978122186272955,0.00837455779076276,2.464445603209754,0.30793361381149364
35,0.43280964955070444,0.008233336093858614,2.478353744805508,0.3069609899266785
36,0.42878907484620615,0.008063935666066583,2.4939901070453154,0.3045699717517312
37,0.4198906317937465,0.007932580073231874,2.5246969356148266,0.3049690137632157
38,0.41859555674858523,0.007802909402165687,2.540549886751955,0.3042222423462458
39,0.4167924990174428,0.007670604523873569,2.535572931701464,0.3042562543859639
40,0.4119926927623809,0.007549495477917317,2.550598087408872,0.3022888021018074
41,0.4027164894237618,0.007439624232427115,2.6040449455635764,0.30232455887522447
42,0.4060093508698539,0.0072728555211701755,2.5800304374781926,0.3022969470005591
43,0.40341095111318764,0.007191364963650975,2.582015858885416,0.3002357640337513
44,0.4029204585020192,0.0071046966268398515,2.5901608610780396,0.30033278045879586
45,0.39789536115117824,0.006960411272853381,2.5967774051659784,0.2998113039866306
46,0.38969317645170104,0.006905595354016413,2.6478278194637572,0.3011770260597596
