index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note,251.6417063,15.126922
0,CC1CC2CC3CCC1C2(C)C3,164.29200000000017,317.295,255.295,476.491,706.722,22.5986,587.44,0.944,99.662,-193.167,52.629,8.618,0.174,6971.253,42.432,337.516,CC1CC2CC3CCC1C2(C)C3 at 298K,,
1,CC1C2CCCCC2C(C)C2CC12,178.3190000000002,356.088,257.657,509.053,732.043,21.4854,618.32,0.943,108.077,-228.404,57.705,13.02,0.189,7573.356,42.471,337.33,CC1C2CCCCC2C(C)C2CC12 at 298K,,
2,CCC1CC2C3C(C)(C)C34CC124,162.27600000000015,267.494,253.874,417.523,687.719,18.393,620.19,1.014,91.671,-146.854,50.786,5.771,0.16,6775.736,41.754,337.061,CCC1CC2C3C(C)(C)C34CC124 at 298K,,
3,CCCC1CC23CC4CCC4(C2)C13,176.30300000000017,292.299,260.326,463.346,718.47,18.7922,648.05,1.037,131.775,-148.685,58.84,12.482,0.17,7411.245,42.037,337.671,CCCC1CC23CC4CCC4(C2)C13 at 298K,,
4,CC1C2C3(CCC3)CC3(C)CC12C3,176.30300000000017,255.676,275.171,451.094,697.12,19.6826,646.92,1.025,125.103,-147.864,55.207,6.523,0.172,7412.066,42.042,337.691,CC1C2C3(CCC3)CC3(C)CC12C3 at 298K,,
5,CCC1C2C3CCCC4CC2C413,162.27600000000015,324.449,253.376,466.189,734.28,21.1713,579.97,1.054,120.48,-151.107,54.197,11.564,0.154,6771.483,41.728,336.956,CCC1C2C3CCCC4CC2C413 at 298K,,
6,CC1C2CC3C4CCC45CC3C12C5,174.28700000000015,286.307,270.719,457.48,737.984,19.2886,614.98,1.147,149.361,-121.202,57.315,9.8,0.152,7196.898,41.293,336.807,CC1C2CC3C4CCC45CC3C12C5 at 298K,,
7,CCC1(C)CC2C3CCCCC321,164.29200000000017,295.936,246.017,463.272,693.45,21.5849,602.96,0.95,110.557,-170.517,53.686,8.271,0.173,6993.903,42.57,338.064,CCC1(C)CC2C3CCCCC321 at 298K,,
8,CCC1CCC(C2CCCC2C)C1,180.3350000000002,360.206,259.318,509.248,720.231,19.964,639.67,0.88,91.613,-251.788,59.313,14.047,0.205,7791.802,43.207,338.227,CCC1CCC(C2CCCC2C)C1 at 298K,,
9,CCC1C23CC(C)CC(C2)C13C,164.29200000000017,282.699,247.046,445.994,676.748,19.527,616.11,0.944,80.988,-186.765,51.674,8.79,0.174,6977.655,42.471,337.671,CCC1C23CC(C)CC(C2)C13C at 298K,,
