index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note,0.957732586,0.077233414
0,CC1CC(C)C2C(C)(C)C23CCC13,178.3190000000002,304.069,263.201,473.773,693.006,19.1877,659.32,0.91,79.267,-227.099,53.796,7.227,0.196,7574.661,42.478,337.358,CC1CC(C)C2C(C)(C)C23CCC13 at 298K,,
1,CC1CC2CCC(C)C2C(C)C1C,180.3350000000002,342.971,246.658,505.886,697.371,20.0889,639.72,0.863,67.755,-279.607,55.915,13.645,0.209,7763.983,43.053,337.623,CC1CC2CCC(C)C2C(C)C1C at 298K,,
2,CCC1CCCC(C2CC2C)C1,166.3080000000002,345.11,246.84,486.71,707.26,20.6381,593.27,0.88,82.369,-229.148,55.467,13.044,0.189,7177.102,43.155,338.188,CCC1CCCC(C2CC2C)C1 at 298K,,
3,CC(C)CC1CC2CC3CC3C12,164.29200000000017,344.11,227.097,473.878,722.416,20.7319,591.96,0.95,100.168,-201.583,54.726,12.884,0.173,6962.837,42.381,337.313,CC(C)CC1CC2CC3CC3C12 at 298K,,
4,CCC1C2C(C)CC2C2(C)C(C)C12,178.3190000000002,330.345,248.495,482.573,709.11,17.8703,655.24,0.934,71.827,-241.663,55.222,12.035,0.191,7560.097,42.396,337.032,CCC1C2C(C)CC2C2(C)C(C)C12 at 298K,,
5,CC1CC23CC1CC(C2)C(C)C3C,178.3190000000002,311.172,256.801,485.004,704.316,19.7349,635.56,0.939,96.015,-220.034,56.176,11.784,0.19,7581.726,42.518,337.517,CC1CC23CC1CC(C2)C(C)C3C at 298K,,
6,CC(C)CC1C2CCC1C(C)(C)C2,180.3350000000002,350.105,248.836,495.539,703.386,20.1789,679.3,0.839,67.577,-273.496,54.816,9.452,0.215,7770.094,43.087,337.757,CC(C)CC1C2CCC1C(C)(C)C2 at 298K,,
7,CC1CC(C)C2CC3CC2(C1)C3C,178.3190000000002,316.108,261.908,489.573,711.682,20.3242,636.32,0.939,96.014,-222.983,55.678,11.784,0.19,7578.777,42.501,337.449,CC1CC(C)C2CC3CC2(C1)C3C at 298K,,
8,CC1C2CCCC23CC3C1(C)C,164.29200000000017,295.156,257.014,456.34,685.318,21.3079,607.94,0.918,85.257,-192.515,50.864,5.722,0.179,6971.905,42.436,337.531,CC1C2CCCC23CC3C1(C)C at 298K,,
9,CCC12CCC1C1CCC(C)(C)C12,178.3190000000002,319.885,257.576,487.967,710.239,19.964,657.61,0.934,102.225,-212.819,56.003,8.117,0.191,7588.941,42.558,337.675,CCC12CCC1C1CCC(C)(C)C12 at 298K,,
10,CC1CC(C)(C)C2C3C(C)CC32C1,178.3190000000002,304.069,263.201,473.773,693.006,19.1877,659.32,0.91,79.267,-227.099,53.796,7.227,0.196,7574.661,42.478,337.358,CC1CC(C)(C)C2C3C(C)CC32C1 at 298K,,
11,CC1CC12CC1CC3(C)CC(C)C132,176.30300000000017,249.493,269.948,442.08,690.129,18.3617,651.9,1.019,109.869,-159.809,54.294,7.026,0.173,7400.121,41.974,337.418,CC1CC12CC1CC3(C)CC(C)C132 at 298K,,
12,CCCC1CC2(C)C3CCCC2C13,178.3190000000002,344.07,260.56,498.04,727.668,20.2332,656.24,0.934,101.173,-218.924,57.466,12.684,0.191,7582.836,42.524,337.54,CCCC1CC2(C)C3CCCC2C13 at 298K,,
13,CCC1C(C)(C)C23C(C)C2CC13C,178.3190000000002,284.509,260.207,451.897,672.16,17.198,691.25,0.905,58.251,-228.415,52.226,5.739,0.197,7573.345,42.471,337.33,CCC1C(C)(C)C23C(C)C2CC13C at 298K,,
14,CC1CCC(C)C2C(C1)C2C1CC1,178.3190000000002,350.638,265.157,500.474,739.038,19.6133,616.79,0.949,108.078,-222.506,58.702,13.02,0.188,7579.254,42.504,337.461,CC1CCC(C)C2C(C1)C2C1CC1 at 298K,,
