index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note,42.68542469,0.57779221
0,CC1C2CCC3(C(C)C)CC1C23C,178.3190000000002,287.298,261.485,464.38,693.123,18.8736,666.14,0.934,86.072,-222.267,53.639,8.083,0.191,7579.493,42.505,337.465,CC1C2CCC3(C(C)C)CC1C23C at 298K,,
1,CC(C)C1CCC2C(C)CC(C)C12,180.3350000000002,356.925,248.366,502.258,701.931,19.2213,646.44,0.906,72.014,-271.81,57.172,16.283,0.199,7771.78,43.096,337.792,CC(C)C1CCC2C(C)CC(C)C12 at 298K,,
2,CCC12C(C)C3C(C)C1(C)C3C2C,178.3190000000002,299.549,258.928,479.767,710.117,18.4245,666.6,0.934,74.098,-237.837,52.917,10.783,0.191,7563.923,42.418,337.119,CCC12C(C)C3C(C)C1(C)C3C2C at 298K,,
3,CC(C)CCC1CCC2CCCC21,180.3350000000002,354.878,236.831,504.803,712.596,20.7131,659.99,0.867,98.438,-249.738,59.523,15.16,0.208,7793.852,43.219,338.274,CC(C)CCC1CCC2CCCC21 at 298K,,
4,CC(C)CCC1CC(CC2CC2)C1,180.3350000000002,352.677,200.91,489.471,699.64,18.5352,669.7,0.863,93.307,-237.405,61.129,16.846,0.209,7806.185,43.287,338.54,CC(C)CCC1CC(CC2CC2)C1 at 298K,,
5,CCCC1CC2CC(CC(C)C)C12,180.3350000000002,359.015,221.179,495.284,708.111,18.2214,676.41,0.867,76.592,-263.65,59.184,17.071,0.208,7779.94,43.142,337.972,CCCC1CC2CC(CC(C)C)C12 at 298K,,
6,CCCC1C(C)CC1CC1CC1C,180.3350000000002,353.696,204.735,491.671,691.907,17.471,666.08,0.863,70.125,-255.498,59.923,17.891,0.209,7788.092,43.187,338.148,CCCC1C(C)CC1CC1CC1C at 298K,,
7,CCC1C2CC3CC3(C(C)C)CC12,178.3190000000002,327.498,250.373,480.331,715.524,18.8247,657.08,0.949,93.866,-224.887,56.357,12.387,0.188,7576.873,42.491,337.409,CCC1C2CC3CC3(C(C)C)CC12 at 298K,,
8,CC1CC1C1CC2CCCC1C2,164.29200000000017,341.725,259.056,484.903,733.1,21.8065,565.41,0.961,114.067,-187.921,55.77,11.514,0.171,6976.499,42.464,337.643,CC1CC1C1CC2CCCC1C2 at 298K,,
9,CCC12C3CCC4C(C)C41C2C3,162.27600000000015,273.91,242.107,442.136,707.824,19.4243,588.27,1.075,122.753,-135.485,53.886,10.312,0.151,6787.105,41.824,337.344,CCC12C3CCC4C(C)C41C2C3 at 298K,,
10,CCC1(C)C2CCC3CC3C1CC2,178.3190000000002,342.023,255.864,505.759,729.036,21.1326,637.11,0.954,116.629,-213.471,57.769,11.013,0.187,7588.289,42.555,337.663,CCC1(C)C2CCC3CC3C1CC2 at 298K,,
11,CCC1(CCCC2CC2)CC1C,166.3080000000002,308.84,176.817,469.674,676.029,19.2717,620.81,0.88,106.834,-190.192,59.108,16.271,0.189,7216.058,43.39,339.107,CCC1(CCCC2CC2)CC1C at 298K,,
12,CC(C)C1C(C)C(C)C2CCCC21,180.3350000000002,356.925,248.366,502.258,701.931,19.2213,646.44,0.906,72.014,-271.81,57.172,16.283,0.199,7771.78,43.096,337.792,CC(C)C1C(C)C(C)C2CCCC21 at 298K,,
13,CC1CC2CC(C2)C(C(C)C)C1,166.3080000000002,357.884,252.614,495.793,709.826,22.7061,596.59,0.909,78.003,-243.123,53.243,14.778,0.183,7163.127,43.071,337.858,CC1CC2CC(C2)C(C(C)C)C1 at 298K,,
14,CC(C)C1CCCC2CCCC2C1,180.3350000000002,369.291,260.228,516.21,714.821,22.2181,636.48,0.915,102.483,-247.921,58.999,15.277,0.197,7795.669,43.229,338.313,CC(C)C1CCCC2CCCC2C1 at 298K,,
15,CCC1C2CCC3CC2CC(C)C31,178.3190000000002,376.28,260.924,515.145,746.073,21.4854,631.29,0.939,101.464,-236.269,57.283,14.428,0.19,7565.491,42.427,337.155,CCC1C2CCC3CC2CC(C)C31 at 298K,,
16,CC(C)C1CCC2C1C21CCC1C,178.3190000000002,325.126,258.393,481.05,708.707,18.8899,642.28,0.991,100.274,-212.237,57.433,14.422,0.18,7589.523,42.561,337.687,CC(C)C1CCC2C1C21CCC1C at 298K,,
17,CC(C)C12CCC3C4CCC31C2C4,176.30300000000017,285.38,267.009,459.732,720.035,19.596,641.48,1.037,128.736,-163.346,56.044,9.118,0.17,7396.584,41.954,337.337,CC(C)C12CCC3C4CCC31C2C4 at 298K,,
18,CC1CCC2CC3C(C)C3(C1)C2,164.29200000000017,302.259,250.325,468.381,697.102,21.9492,584.18,0.95,102.004,-185.449,53.244,10.278,0.173,6978.971,42.479,337.702,CC1CCC2CC3C(C)C3(C1)C2 at 298K,,
19,CCC12CC3CC1CC2C3C(C)C,178.3190000000002,334.758,246.439,487.324,718.579,18.3304,645.55,1.007,107.997,-209.901,58.727,15.814,0.177,7591.859,42.575,337.743,CCC12CC3CC1CC2C3C(C)C at 298K,,
20,CC1CCC2CC2(C(C)C)C(C)C1,180.3350000000002,310.244,252.708,487.018,682.484,20.0531,662.06,0.867,75.39,-262.178,54.906,11.101,0.208,7781.412,43.15,338.004,CC1CCC2CC2(C(C)C)C(C)C1 at 298K,,
